BS_YR_MON,GB,CT_PRVNC_CD,CT_PRVNC_NM,CT_CNTY_GU_CD,CT_CNTY_GU_NM,ADM_DONG_CD,ADM_DONG_NM,GENDER,AGE_CD,AVG_ICM,AVG_ICM_O70,MED_ICM,CD_CNT,SINCD_CNT,CHKCD_CNT,AVG_SINCD_USE_AMT,AVG_CHKCD_USE_AMT,BAL_CNT,BNK_BAL_CNT,NBNK_BAL_CNT,CRDT_BAL_CNT,HOUS_BAL_CNT,AVG_BAL_AMT,AVG_BNK_BAL_AMT,AVG_NBNK_BAL_AMT,AVG_CRDT_BAL_AMT,AVG_HOUS_BAL_AMT,AVG_SCR,RT_SCR1,RT_SCR2,RT_SCR3
202001,ADM_DONG,41,경기도,41650,포천시,41650330,가산면,1,50,2900,,2700,146,17,144,12,20,2,0,2,0,1,4428,0,4428,0,8396,5,.04,.91,0
202001,ADM_DONG,41,경기도,41650,포천시,41650330,가산면,1,30,2799,,2700,2268,283,2258,4,19,10,0,10,6,0,515,0,515,197,0,5,.05,.89,.01
202001,ADM_DONG,41,경기도,41610,광주시,41610330,도척면,2,40,2515,,2400,59,7,59,31,31,3,1,2,2,1,4211,12000,316,316,12000,5,.03,.94,.03
202001,ADM_DONG,47,경상북도,47113,포항시북구,47113330,송라면,2,30,2400,,2300,4,0,4,0,36,0,0,0,0,0,0,0,0,0,0,4,0,.83,0
202001,ADM_DONG,27,대구광역시,27260,수성구,27260561,만촌3동,1,70,2150,,2150,2,1,2,0,0,1,0,1,0,1,2855,0,2855,0,2855,4,.50,.50,0
202001,ADM_DONG,41,경기도,41310,구리시,41310510,갈매동,2,60,1838,,1800,4,1,4,12,17,0,0,0,0,0,0,0,0,0,0,4,.13,.88,0
202001,ADM_DONG,28,인천광역시,28110,중구,28110570,율목동,1,20,2100,,2000,12,1,12,7,69,0,0,0,0,0,0,0,0,0,0,4,.07,.80,0
202001,ADM_DONG,48,경상남도,48125,창원시마산합포구,48125540,문화동,2,20,2037,,2000,25,3,25,24,93,0,0,0,0,0,0,0,0,0,0,5,.07,.89,0
202001,ADM_DONG,47,경상북도,47170,안동시,47170400,임동면,1,40,4000,,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,42,강원도,42760,평창군,42760310,미탄면,2,50,2067,,2100,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.00,0
202001,ADM_DONG,26,부산광역시,26230,부산진구,26230740,개금제1동,1,20,2148,,2100,26,0,26,0,106,0,0,0,0,0,0,0,0,0,0,5,.11,.89,0
202001,ADM_DONG,41,경기도,41135,성남시분당구,41135540,수내3동,2,30,2563,,2400,28,11,28,55,38,0,0,0,0,0,0,0,0,0,0,4,.15,.81,0
202001,ADM_DONG,47,경상북도,47170,안동시,47170380,임하면,1,30,2650,,2500,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,5,0,.97,0
202001,ADM_DONG,41,경기도,41271,안산시상록구,41271550,본오2동,1,30,2951,,2800,139,54,138,83,121,22,8,17,9,6,5357,11921,1323,1243,13651,4,.22,.73,.04
202001,ADM_DONG,41,경기도,41570,김포시,41570340,대곶면,1,30,2878,,2800,3384,606,3372,5,28,29,2,27,23,0,569,1465,503,428,0,5,.08,.84,.01
202001,ADM_DONG,46,전라남도,46830,영암군,46830250,영암읍,1,30,2732,,2600,25,1,25,7,17,0,0,0,0,0,0,0,0,0,0,5,.03,.97,0
202001,ADM_DONG,45,전라북도,45190,남원시,45190360,대강면,2,60,2000,,2000,1,0,1,0,180,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,11,서울특별시,11560,영등포구,11560605,문래동,2,40,2769,14700,2400,51,19,50,38,27,4,4,0,0,1,24583,24583,0,0,833,5,.10,.89,0
202001,ADM_DONG,27,대구광역시,27260,수성구,27260651,지산1동,2,70,1967,,1900,2,0,2,0,3,2,1,1,1,1,7999,5998,10000,1008,10000,4,.50,.50,0
202001,ADM_DONG,41,경기도,41570,김포시,41570340,대곶면,1,40,3180,,3000,867,144,860,7,18,3,0,3,1,0,771,0,771,980,0,5,.06,.90,.01
202001,ADM_DONG,11,서울특별시,11305,강북구,11305635,수유3동,2,40,2596,,2500,74,18,73,60,30,1,1,0,0,1,10400,10400,0,0,10400,5,.10,.83,.04
202001,ADM_DONG,11,서울특별시,11305,강북구,11305635,수유3동,2,50,2377,,2300,56,17,56,24,24,3,3,0,0,2,3854,3854,0,0,5771,5,.15,.83,0
202001,ADM_DONG,44,충청남도,44270,당진시,44270530,당진3동,2,70,2025,,1950,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,46,전라남도,46830,영암군,46830250,영암읍,1,40,2960,,2900,13,1,13,45,35,0,0,0,0,0,0,0,0,0,0,5,0,1.00,0
202001,ADM_DONG,46,전라남도,46830,영암군,46830250,영암읍,1,50,3056,,2800,7,0,7,0,28,0,0,0,0,0,0,0,0,0,0,5,0,.89,0
202001,ADM_DONG,41,경기도,41830,양평군,41830400,용문면,2,30,2356,,2300,39,2,39,11,34,0,0,0,0,0,0,0,0,0,0,5,.05,.89,.02
